model,noise_type,level,full_accuracy_%,classical_only_%,quantum_only_%,quantum_noise_gain_%
QNN_CPU,gaussian,0.0,94.8818,92.1285,49.0999,2.7533
QNN_CPU,gaussian,0.1,92.658,89.1634,45.8525,3.4946
QNN_CPU,gaussian,0.2,76.7031,74.9029,34.7335,1.8002
QNN_CPU,gaussian,0.3,54.8535,58.4892,22.5203,-3.6357
QNN_CPU,gaussian,0.5,28.3798,33.0745,13.2369,-4.6947
QNN_CPU,blur,0.0,94.8818,92.1285,49.0999,2.7533
QNN_CPU,blur,1.5,94.0346,91.7402,49.6294,2.2944
QNN_CPU,blur,2.5,87.8221,84.8923,43.3463,2.9298
QNN_CPU,blur,3.0,79.88,78.7151,38.934,1.1649
QNN_CPU,contrast,1.0,94.8818,92.1285,49.0999,2.7533
QNN_CPU,contrast,0.55,93.9287,90.7872,46.629,3.1415
QNN_CPU,contrast,0.4,89.4811,85.8101,41.5108,3.671
QNN_CPU,contrast,0.25,70.0318,69.9612,28.3445,0.0706
QNN_CPU,contrast,0.1,28.8387,30.6036,12.5662,-1.7649
QNN_CPU,salt_pepper,0.0,94.8818,92.1285,49.0999,2.7533
QNN_CPU,salt_pepper,0.02,94.917,91.6696,49.1352,3.2474
QNN_CPU,salt_pepper,0.04,93.6816,90.5401,47.4056,3.1415
QNN_CPU,salt_pepper,0.07,90.2577,87.2926,45.2171,2.9651
QNN_CPU,salt_pepper,0.1,85.1394,82.9156,41.8637,2.2238
QNN_CPU,motion_blur,0,94.8818,92.1285,49.0999,2.7533
QNN_CPU,motion_blur,2,94.6347,92.2344,49.4882,2.4003
QNN_CPU,motion_blur,4,91.8814,88.5281,48.4998,3.3533
QNN_CPU,motion_blur,6,86.5867,82.1744,43.8052,4.4123
QNN_CPU,motion_blur,8,76.3149,73.9499,36.9573,2.365
QNN_CPU,motion_blur,10,65.5136,64.8782,30.9919,0.6354
QNN_CPU,jpeg_compression,100,94.8818,92.1285,49.0999,2.7533
QNN_CPU,jpeg_compression,40,94.8465,91.8461,48.9234,3.0004
QNN_CPU,jpeg_compression,25,93.8228,90.9989,47.1585,2.8239
QNN_CPU,jpeg_compression,10,82.7744,79.88,42.5697,2.8944
QNN_CPU,lens_occlusion,0.0,94.8818,92.1285,49.0999,2.7533
QNN_CPU,lens_occlusion,0.08,89.8341,85.6336,46.982,4.2005
QNN_CPU,lens_occlusion,0.12,85.7042,81.7508,46.276,3.9534
QNN_CPU,lens_occlusion,0.16,81.7861,77.6915,44.9347,4.0946
QNN_CPU,lens_occlusion,0.2,76.9502,73.7734,43.664,3.1768
QNN_GPU,gaussian,0.0,95.5877,93.258,53.4769,2.3297
QNN_GPU,gaussian,0.1,93.0815,90.0812,51.7473,3.0003
QNN_GPU,gaussian,0.2,74.9735,73.4557,42.1461,1.5178
QNN_GPU,gaussian,0.3,52.5591,55.1359,27.3915,-2.5768
QNN_GPU,gaussian,0.5,20.7554,27.5327,12.8839,-6.7773
QNN_GPU,blur,0.0,95.5877,93.258,53.4769,2.3297
QNN_GPU,blur,1.5,94.5641,91.7755,50.9707,2.7886
QNN_GPU,blur,2.5,88.0339,85.2806,44.1228,2.7533
QNN_GPU,blur,3.0,82.1744,79.88,39.7106,2.2944
QNN_GPU,contrast,1.0,95.5877,93.258,53.4769,2.3297
QNN_GPU,contrast,0.55,94.2817,91.3166,50.653,2.9651
QNN_GPU,contrast,0.4,89.4458,86.7279,46.8055,2.7179
QNN_GPU,contrast,0.25,71.0554,70.5612,37.1338,0.4942
QNN_GPU,contrast,0.1,25.3089,28.3445,18.7434,-3.0356
QNN_GPU,salt_pepper,0.0,95.5877,93.258,53.4769,2.3297
QNN_GPU,salt_pepper,0.02,94.8112,91.952,51.2531,2.8592
QNN_GPU,salt_pepper,0.04,93.8934,90.9989,49.6294,2.8945
QNN_GPU,salt_pepper,0.07,90.5754,87.7162,46.5231,2.8592
QNN_GPU,salt_pepper,0.1,85.5277,81.7861,42.2167,3.7416
QNN_GPU,motion_blur,0,95.5877,93.258,53.4769,2.3297
QNN_GPU,motion_blur,2,95.4818,92.3756,52.7356,3.1062
QNN_GPU,motion_blur,4,92.4815,89.9753,49.347,2.5062
QNN_GPU,motion_blur,6,85.0335,82.4568,42.6403,2.5767
QNN_GPU,motion_blur,8,75.5383,73.844,36.7102,1.6943
QNN_GPU,motion_blur,10,67.1373,67.102,32.2979,0.0353
QNN_GPU,jpeg_compression,100,95.5877,93.258,53.4769,2.3297
QNN_GPU,jpeg_compression,40,95.27,93.0815,53.5828,2.1885
QNN_GPU,jpeg_compression,25,94.0346,91.7049,53.1239,2.3297
QNN_GPU,jpeg_compression,10,81.5743,78.9975,49.0646,2.5768
QNN_GPU,lens_occlusion,0.0,95.5877,93.258,53.4769,2.3297
QNN_GPU,lens_occlusion,0.08,90.0459,87.4338,50.4059,2.6121
QNN_GPU,lens_occlusion,0.12,86.3396,83.6922,50.0882,2.6474
QNN_GPU,lens_occlusion,0.16,82.4215,79.527,48.2174,2.8945
QNN_GPU,lens_occlusion,0.2,77.7621,75.1853,46.8761,2.5768
